,__REALTIME_TIMESTAMP,__MONOTONIC_TIMESTAMP,Master Offset,Frequency,Path Delay
0,1595383460852320,142878892798,-76725,19605,24894
1,1595383461853283,142879893761,-70243,26083,24894
2,1595383462854041,142880894519,-13233,12850,24894
3,1595383463855084,142881895562,424,22537,24741
4,1595383464855477,142882895955,-9460,12780,24741
5,1595383465856599,142883897078,6418,25820,22667
6,1595383466857047,142884897525,-2669,18659,24741
7,1595383467858176,142885898654,-1892,18635,24741
8,1595383468858605,142886899083,-92,19867,24479
9,1595383469859851,142887900329,-1321,18611,24610
10,1595383470860850,142888901329,127,19663,24610
11,1595383471861963,142889902442,-588,18986,24820
12,1595383472863028,142890903506,221,19618,24870
13,1595383473864117,142891904595,-152,19312,24870
14,1595383474864632,142892905110,-199,19219,24870
15,1595383475865902,142893906380,-108,19250,24871
16,1595383476866388,142894906866,702,20028,24871
17,1595383477867491,142895907969,-810,18726,24909
18,1595383478868684,142896909162,431,19724,24909
19,1595383479869817,142897910296,-311,19112,24951
20,1595383480870764,142898911243,70,19399,24951
21,1595383481871812,142899912290,289,19639,24909
22,1595383482872971,142900913449,-8,19429,24951
23,1595383483874074,142901914552,-123,19312,24881
24,1595383484874562,142902915040,613,20011,24701
25,1595383485875599,142903916078,935,20517,24701
26,1595383486876125,142904916603,-974,18888,24701
27,1595383487877281,142905917760,-362,19208,24701
28,1595383488878435,142906918913,190,19651,24765
29,1595383489879492,142907919971,-380,19138,24765
30,1595383490880477,142908920955,373,19777,24772
31,1595383491881662,142909922140,-687,18829,24852
32,1595383492882173,142910922652,8,19318,24852
33,1595383493883244,142911923722,190,19503,24852
34,1595383494883802,142912924280,432,19802,24807
35,1595383495884950,142913925428,95,19594,24807
36,1595383496886010,142914926488,76,19604,24803
37,1595383497887087,142915927565,345,19896,24783
38,1595383498888087,142916928566,116,19770,24783
39,1595383499889097,142917929575,-738,18951,24783
40,1595383500889753,142918930231,518,19985,24783
41,1595383501890853,142919931332,-289,19334,24783
42,1595383502891382,142920931860,-541,18995,24845
43,1595383503892487,142921932965,756,20130,24845
44,1595383504893546,142922934024,340,19941,24865
45,1595383505894555,142923935034,-313,19390,24930
46,1595383506895661,142924936139,-748,18861,24970
47,1595383507896728,142925937209,623,20007,24862
48,1595383508897838,142926938316,36,19607,24970
49,1595383509898913,142927939391,47,19629,24899
50,1595383510899555,142928940033,-321,19275,24899
51,1595383511900546,142929941024,-574,18926,24956
52,1595383512901615,142930942093,569,19897,24901
53,1595383513902683,142931943161,-117,19381,24901
54,1595383514903746,142932944224,-140,19323,24777
55,1595383515904904,142933945382,222,19643,24777
56,1595383516905859,142934946337,-111,19377,24901
57,1595383517906884,142935947363,698,20153,24901
58,1595383518907387,142936947865,-896,18768,24972
59,1595383519908538,142937949016,-220,19175,24972
60,1595383520909523,142938950001,-43,19286,24972
61,1595383521910602,142939951080,335,19651,24768
62,1595383522911682,142940952160,185,19602,24768
63,1595383523912760,142941953238,-142,19330,24883
64,1595383524913767,142942954245,488,19918,24964
65,1595383525914831,142943955309,-590,18986,24964
66,1595383526915551,142944956029,949,20348,24862
67,1595383527916603,142945957081,-632,19052,24978
68,1595383528917070,142946957549,296,19790,24784
69,1595383529918220,142947958698,-934,18649,24784
70,1595383530918987,142948959465,430,19733,24740
71,1595383531920039,142949960517,-174,19258,24878
72,1595383532921111,142950961589,247,19627,24878
73,1595383533922150,142951962628,-26,19428,24968
74,1595383534922835,142952963313,-368,19078,24968
75,1595383535924067,142953964545,-180,19155,24878
76,1595383536924585,142954965063,-40,19241,24878
77,1595383537925381,142955965859,401,19670,24761
78,1595383538925953,142956966431,206,19596,24903
79,1595383539927340,142957967818,-340,19112,24883
80,1595383540927822,142958968300,-118,19232,24831
81,1595383541930884,142959971362,198,19512,24831
82,1595383542929134,142960969612,556,19930,24959
83,1595383543930211,142961970689,317,19857,24940
84,1595383544931229,142962971707,-311,19324,24940
85,1595383545932059,142963972537,11,19553,24845
86,1595383546932889,142964973367,-87,19458,24929
87,1595383547933989,142965974467,-233,19286,24929
88,1595383548934473,142966974951,-225,19224,24921
89,1595383549935589,142967976067,294,19676,24841
90,1595383550936587,142968977065,-496,18974,24857
91,1595383551937710,142969978188,290,19611,24857
92,1595383552938725,142970979203,154,19562,24855
93,1595383553939819,142971980298,603,20058,24855
94,1595383554940704,142972981182,-941,18694,24855
95,1595383555941717,142973982195,-303,19050,24800
96,1595383556942282,142974982760,659,19921,24800
97,1595383557943391,142975983870,-392,19068,24857
98,1595383558944461,142976984939,-268,19074,24926
99,1595383559945572,142977986050,193,19455,24857
100,1595383560946627,142978987105,151,19471,24857
101,1595383561947689,142979988167,910,20275,24793
102,1595383562948691,142980989170,-632,19006,24793
103,1595383563949725,142981990203,947,20396,24649
104,1595383564950766,142982991244,4,19737,24735
105,1595383565951806,142983992284,-417,19317,24834
106,1595383566953231,142984993709,-858,18751,24903
107,1595383567954301,142985994779,101,19452,24903
108,1595383568955386,142986995864,802,20184,24766
109,1595383569956496,142987996975,-451,19171,24899
110,1595383570957388,142988997866,332,19819,24782
111,1595383571958567,142989999046,-452,19135,25016
112,1595383572959589,142991000067,-53,19398,25016
113,1595383573960746,142992001224,-258,19177,25115
114,1595383574961739,142993002218,192,19550,24971
115,1595383575962787,142994003265,-859,18556,24971
116,1595383576963796,142995004274,151,19309,24898
117,1595383577964736,142996005214,1025,20228,24898
118,1595383578965714,142997006192,-471,19039,24936
119,1595383579966287,142998006765,306,19675,24806
120,1595383580967430,142999007908,-6,19455,24806
121,1595383581968409,143000008887,377,19836,24591
122,1595383582969714,143001010192,16,19588,24591
123,1595383583970754,143002011233,-89,19488,24583
124,1595383584971815,143003012294,-298,19252,24583
125,1595383585972858,143004013336,546,20007,24583
126,1595383586973374,143005013852,499,20124,24618
127,1595383587973977,143006014456,-99,19675,24618
128,1595383588974959,143007015437,-1256,18489,24618
129,1595383589976232,143008016710,-133,19235,24618
130,1595383590977333,143009017812,9,19337,24618
131,1595383591978357,143010018835,502,19833,24704
132,1595383592979085,143011019563,681,20162,24704
133,1595383593980001,143012020479,-264,19422,24704
134,1595383594981006,143013021484,-219,19387,24901
135,1595383595981852,143014022330,-884,18657,24914
136,1595383596982576,143015023054,252,19527,24914
137,1595383597983714,143016024192,118,19469,24901
138,1595383598984759,143017025237,588,19974,24901
139,1595383599985844,143018026322,450,20013,24914
140,1595383600986803,143019027281,-115,19583,24972
141,1595383601987886,143020028364,-81,19582,24972
142,1595383602988415,143021028893,-669,18970,25003
143,1595383603989576,143022030054,-92,19346,25003
144,1595383604990082,143023030560,84,19495,25003
145,1595383605990782,143024031260,643,20079,25003
146,1595383606991919,143025032397,-788,18841,25030
147,1595383607992972,143026033450,-151,19241,24937
148,1595383608993962,143027034440,62,19409,24937
149,1595383609995323,143028035801,1247,20613,24819
150,1595383610995801,143029036279,-860,18880,24819
151,1595383611996892,143030037370,168,19650,24738
152,1595383612997910,143031038389,263,19795,24738
153,1595383613999189,143032039667,-455,19156,24926
154,1595383615000116,143033040594,-662,18813,24926
155,1595383616001224,143034041702,308,19584,24926
156,1595383617002314,143035042792,18,19386,25050
157,1595383618003447,143036043925,149,19523,25050
158,1595383619004448,143037044926,86,19505,25050
159,1595383620005513,143038045991,762,20206,24957
160,1595383621006714,143039047193,-133,19540,24957
161,1595383622007904,143040048382,-888,18745,24917
162,1595383623008903,143041049381,-95,19272,24917
163,1595383624009978,143042050456,172,19510,24882
164,1595383625011056,143043051535,166,19556,24882
165,1595383626012332,143044052811,413,19853,24831
166,1595383627013346,143045053824,-152,19411,24831
167,1595383628014387,143046054865,595,20113,24831
168,1595383629015488,143047055966,-602,19094,24831
