,__REALTIME_TIMESTAMP,__MONOTONIC_TIMESTAMP,Master Offset,Frequency,Path Delay
0,1595404818767440,164236807918,-218926,20805,21888
1,1595404819767985,164237808464,-227942,11789,23490
2,1595404820769051,164238809529,13752,25541,23490
3,1595404821769584,164239810062,5915,21829,25092
4,1595404822770895,164240811374,3621,21310,25092
5,1595404823771231,164241811710,1895,20670,25198
6,1595404824772357,164242812836,1245,20589,25198
7,1595404825772868,164243813346,-712,19005,25304
8,1595404826774242,164244814720,-24,19479,25304
9,1595404827774703,164245815181,854,20350,25304
10,1595404828775860,164246816339,-330,19422,25304
11,1595404829776368,164247816846,-376,19277,25304
12,1595404830777292,164248817770,652,20193,25304
13,1595404831778327,164249818806,-376,19360,25304
14,1595404832779399,164250819878,-376,19247,25304
15,1595404833779919,164251820397,-71,19440,25304
16,1595404834781037,164252821515,214,19703,25226
17,1595404835782221,164253822699,-542,19012,25121
18,1595404836783136,164254823614,280,19671,25027
19,1595404837784287,164255824765,90,19565,24863
20,1595404838785500,164256825978,167,19669,24863
21,1595404839786357,164257826836,-531,19021,24892
22,1595404840787659,164258828137,443,19836,24741
23,1595404841788336,164259828814,455,19981,24892
24,1595404842789263,164260829741,128,19790,24892
25,1595404843789877,164261830356,-600,19101,24871
26,1595404844790776,164262831254,-133,19388,24749
27,1595404845791836,164263832315,-653,18828,24749
28,1595404846792920,164264833398,656,19941,24681
29,1595404847794012,164265834491,-132,19350,24749
30,1595404848795100,164266835578,262,19704,24749
31,1595404849795850,164267836329,-182,19339,24864
32,1595404850796925,164268837403,-160,19306,24803
33,1595404851797473,164269837951,717,20135,24681
34,1595404852798527,164270839005,-395,19238,24681
35,1595404853799744,164271840222,-230,19285,24664
36,1595404854800827,164272841305,-167,19279,24664
37,1595404855801891,164273842369,591,19986,24697
38,1595404856802958,164274843436,270,19843,24869
39,1595404857803875,164275844353,-129,19525,24869
40,1595404858804944,164276845422,-759,18856,24965
41,1595404859805379,164277845857,629,20016,24965
42,1595404860806520,164278846998,-397,19179,25052
43,1595404861807550,164279848029,-419,19038,24965
44,1595404862808687,164280849165,532,19863,24838
45,1595404863809592,164281850070,83,19574,24838
46,1595404864810648,164282851127,-256,19260,24904
47,1595404865811702,164283852181,-62,19377,24847
48,1595404866812856,164284853335,598,20018,24782
49,1595404867813435,164285853913,-137,19463,24729
50,1595404868814475,164286854953,-53,19506,24747
51,1595404869815606,164287856085,281,19824,24712
52,1595404870816667,164288857146,115,19742,24712
53,1595404871817656,164289858135,434,20096,24692
54,1595404872818932,164290859410,-1129,18663,24712
55,1595404873819770,164291860248,-596,18857,24677
56,1595404874820794,164292861272,796,20070,24626
57,1595404875821346,164293861824,393,19906,24626
58,1595404876822399,164294862878,-946,18685,24661
59,1595404877823498,164295863977,-529,18818,24661
60,1595404878824509,164296864988,495,19683,24590
61,1595404879825555,164297866034,88,19425,24590
62,1595404880826660,164298867140,177,19540,24748
63,1595404881827699,164299868177,751,20167,24668
64,1595404882828966,164300869444,-181,19461,24668
65,1595404883829495,164301869974,-1048,18539,24925
66,1595404884830558,164302871036,567,19840,24925
67,1595404885831230,164303871709,95,19538,24925
68,1595404886832362,164304872840,-262,19210,24748
69,1595404887833385,164305873863,136,19529,24683
70,1595404888834459,164306874937,327,19761,24696
71,1595404889835540,164307876018,-85,19447,24689
72,1595404890836629,164308877107,174,19680,24701
73,1595404891837151,164309877630,544,20103,24701
74,1595404892838243,164310878721,-883,18839,24759
75,1595404893839480,164311879958,-362,19095,24759
